finding_id,entity_id,signal_id,value,threshold,severity,confidence,is_flagged,window,evidence_id
0434447f-ae1a-5c8e-9f59-fb9cf9a1261c,cse_charlie,EG-004,0.3750000000000002,0.25,MEDIUM,MEDIUM,True,2024-05-02..2024-06-01,d0258bc8dedb6210cfc3edc945fa20a7b235aa410490a602abd180448f68d982
0c0c56a0-b94b-5301-b421-0661fd41e93d,CSE_SILENT,EG-014,0.5,0.5,MEDIUM,MEDIUM,True,2024-05-03..2024-06-01,6f3a0dfb345a948445c49c8e0b2d7ef52914b79af3e772385adf4b5a1dc3eeb5
14772b3d-d39d-5120-be7d-89f6dc6530d5,cse_charlie,NS-005,11.0,1.0,MEDIUM,MEDIUM,True,2024-05-02..2024-06-01,f121e875614be5352194f428c76f80565f380f77a1f16123e30c883ce65c42f5
246cce44-098c-5f02-ab04-c5eaae776585,cse_charlie,NS-006,3.0,1.0,MEDIUM,MEDIUM,True,2024-05-02..2024-06-01,51f7f5e4d1ef347d5573a4c3fe67d3c76c8ea38a778d1f9ce9378d45969e897f
26ab3c4f-a0a0-577f-94f6-51d5b7545feb,cse_hotel,EG-007,1.0,1.0,HIGH,MEDIUM,True,2024-05-03..2024-06-01,8dc7b4f95ea270cc88b9bf5b6ea6a7fa0404489b79a990a7d41af9ba2cd3349b
26bd55b2-cde1-541d-93c7-513f4946d86e,CSE_BULKCLOSE,EG-006,50.0,50.0,HIGH,MEDIUM,True,2024-05-02..2024-06-01,5d67b901f89cbec7e161da7e7217e16b244687816713f502ab73aa715ec59ff8
2b349aea-9f81-599a-a695-bb9493837f93,cse_echo,EG-005,1.0,0.3,MEDIUM,MEDIUM,True,2024-05-02..2024-06-01,d557b694892f87e6af8e59a79daa17b3ce5f79f5da292508971834bf9a0eb5d5
30dd4e56-634c-5d67-a56f-278fbbcef48e,CSE_FASTCLOSE,EG-001,1.0,0.2,HIGH,MEDIUM,True,2024-05-03..2024-06-01,52d6b0d33169ea3eba32104c7c4804e33202ecf6d8ba4aa0128765ee1ae36a58
38d80b6e-ee03-571e-a5a7-c9fb6f488ca7,cse_charlie,NS-009,1.0,0.1,MEDIUM,MEDIUM,True,2024-05-02..2024-06-01,41c05018385fd0d74b59d118fa2e007c8c44a4c8f99b28e4fccc07abd54e7e31
46079c40-0bde-58b4-ba0e-cbf8fc47e933,cse_golf,EG-007,1.0,1.0,HIGH,MEDIUM,True,2024-05-03..2024-05-31,56f2e9c87c0b7e4a311dd529435f0cf3996d9e6a02f70bbde4586e5547395dd3
56991e30-c413-55e6-9d9d-182b032f250d,cse_bravo,EG-001,1.0,0.2,HIGH,MEDIUM,True,2024-05-03..2024-05-31,d30aacea27f8e999c5d6b438ca1c66eb3ed2d9549579cc08728459f05a9663f9
5754fa25-e00e-548f-8934-c35dd8865399,CSE_SILENT,NS-009,1.0,0.1,MEDIUM,MEDIUM,True,2024-05-03..2024-06-01,6c21c104652bca6594647185a6c3f578c1ef0c105cd9557a3fa2a9086811d196
641b774f-2c5b-5a00-a7b0-1af0b16ee54c,CSE_BYPASS,EG-003,1.0,0.9,HIGH,MEDIUM,True,2024-05-02..2024-06-01,2db7e6f0edb1fcc1c8b4178188b4457c8534bf786cc4db5849b0e95dc97f933b
71c9c29e-b4af-5f2c-ab40-022e3b198bd5,cse_foxtrot,EG-002,0.2545454545454545,0.15,MEDIUM,MEDIUM,True,2024-05-03..2024-05-31,fd36fbe06f9050f6c0b3ec53a4b4533271fef4bf656a40bd2d21917ab1955355
7b71642b-03f3-5d3c-a07b-dc3001b65e00,cse_charlie,NS-001,1.0,0.1,HIGH,MEDIUM,True,2024-05-02..2024-06-01,860a4a339f4cd5ab5ed461b7acb87a890e0ed0f971176876146e09cb467a611c
868e644a-742a-570b-b83d-85d8b3057550,CSE_SILENT,NS-005,11.0,1.0,MEDIUM,MEDIUM,True,2024-05-03..2024-06-01,1995dad9870c384ed0d62c8870bee808dfc27a49eaa80b2b943170ebe3448729
8c52f827-79a3-5024-b48a-748a89536be2,cse_delta,EG-010,0.9635968393980241,0.85,HIGH,MEDIUM,True,2024-05-02..2024-05-31,c9cdb10d145ea734b326846619e9d2275291c9efeaca356210bc4c667f980041
8f2c8eb2-162b-5f92-a3e2-1f87a8234a8d,cse_golf,NS-011,1.0,0.95,LOW,LOW,True,2024-05-03..2024-05-31,18b28e4150a902c3a5caa0f5c8711397683e8fcacf0a2e5993dd42764d364a8f
92b8e9b1-535a-5c5f-bbf3-bb089280e428,cse_india,EG-014,0.6666666666666666,0.5,MEDIUM,MEDIUM,True,2024-05-03..2024-06-01,886b5a9f1542236713f4cd7d2c1b50a78834d16a95f46c2ef0ba48411f95d41b
933cb173-e240-5bc4-acc5-b348020027b9,cse_charlie,NS-002,30.0,7.0,MEDIUM,MEDIUM,True,2024-05-02..2024-06-01,9d3808a12805a0c380568c2a7676052ac461851007a69dd615a6c9ae86d714c5
9a24ca9b-0fca-5899-a4e1-8d5cc1a760c3,CSE_SILENT,NS-006,3.0,1.0,MEDIUM,MEDIUM,True,2024-05-03..2024-06-01,73250427b9c64086e2eec6d976a27a80190e1db2a1e84aa2d7d9adc86fb6fb9d
bccb0c61-ec51-5a1b-8651-1f45546a4d3a,CSE_FASTCLOSE,EG-004,0.2550000000000001,0.25,MEDIUM,MEDIUM,True,2024-05-03..2024-06-01,b9c2d93c9af05e012d09716157f3dac314603224953037cf5f143c24f3f185f4
c67b7165-1e8d-538b-a1fd-bb778ef7854a,cse_golf,EG-006,50.0,50.0,HIGH,MEDIUM,True,2024-05-03..2024-05-31,c63f4d07dab07e00afe70210181e3d6c3a0600c729f1475b9c3cf52ae60aaf13
ca4905b2-2abe-5aca-ba5c-9a5ddde0395f,cse_hotel,EG-003,1.0,0.9,HIGH,MEDIUM,True,2024-05-03..2024-06-01,30da622d034c6a914b107e262bc9e428b215d0b9b6ff7765b3338c85a31e5fd6
d600f881-0b99-5462-87e7-a4a6d1230a9e,CSE_SILENT,NS-001,1.0,0.1,HIGH,MEDIUM,True,2024-05-03..2024-06-01,eed80c23480737808351b899fd365bcb86e332d9ae092f077dbe7886b3085200
efa7bc1f-eb24-5a17-bb44-86022f225638,CSE_SILENT,NS-002,29.0,7.0,MEDIUM,MEDIUM,True,2024-05-03..2024-06-01,2f541f515034801e3646198c38f802cc200a1fe1247bb8089aeb8aab6ccb99b5
f286a66a-bd40-54b3-bd9f-d45fcc9f3936,cse_charlie,EG-014,0.5,0.5,MEDIUM,MEDIUM,True,2024-05-02..2024-06-01,25dbde62aa0420f55588f87a0579ece777ba30e080041b98f1e5391634fb7297
f7d6af5f-c40a-519c-8ddf-e26d3396b2c7,cse_foxtrot,EG-004,0.29545454545454586,0.25,MEDIUM,MEDIUM,True,2024-05-03..2024-05-31,f761f19a9930eec6e9699cef1af82419b32d2e59f701197e48fdc39cebaf229e
fbc7ee91-f24e-53c5-91c3-9e83175877d2,CSE_BULKCLOSE,NS-011,1.0,0.95,LOW,LOW,True,2024-05-02..2024-06-01,4702898e8860b1a4bf8fd0a31849c22585163c3580b69b8cc2205f3f4531d9d7
